,Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
65593,33630985.0,1,5/30/2012,Host,135,S. SIRO,1,1,Entire home,2,66.0,45,4.42,4.56,4.56,4.78,4.53,4.47,4.31,0.78,Milano,Early Spring,1,private,"45.47366, 9.13021",3/15/2024
104802,51974150.0,1,11/14/2013,Host,118,GUASTALLA,4,2,Entire home,6,237.0,25,4.32,4.52,4.44,4.44,4.0,4.68,4.2,0.68,Milano,Early Autumn,2,private,"45.46358, 9.20621",9/15/2024
102824,36551480.0,0,2/13/2015,Host,564,GARIBALDI REPUBBLICA,2,1,Entire home,2,140.0,15,3.13,3.6,3.67,3.67,4.07,4.67,3.2,0.25,Milano,Early Autumn,1,private,"45.48192, 9.18363",9/15/2024
25587,51246914.0,64,3/31/2016,Superhost,1,Centro Storico,2,1,Entire home,4,350.0,130,4.97,4.96,4.96,4.9,4.95,4.99,4.92,4.86,Firenze,Early Summer,1,private,"43.76583, 11.25189",6/15/2024
279627,6.22e+17,3,12/11/2012,Host,1,Lido,6,4,Entire home,8,1550.0,12,5.0,5.0,5.0,5.0,5.0,5.0,4.92,0.51,Venezia,Early Autumn,4,private,"45.417110443115234, 12.37126636505127",9/15/2024
7321,6.14e+17,68,4/27/2022,Superhost,1,Centro Storico,5,3,Entire home,8,335.0,104,4.96,4.96,4.95,4.96,5.0,5.0,4.9,5.48,Firenze,Early Winter,3,private,"43.77626, 11.25356",12/15/2024
33398,23722002.0,40,11/18/2014,Host,438,Centro Storico,4,2,Entire home,6,187.0,96,4.59,4.69,4.65,4.61,4.72,4.8,4.55,1.25,Firenze,Early Autumn,2,private,"43.77017, 11.26916",9/15/2024
183003,33855556.0,1,4/13/2019,Host,5,XI Arvalia/Portuense,1,3,Private room,2,100.0,3,4.67,4.33,4.67,5.0,5.0,4.33,4.33,0.05,Roma,Early Spring,1,private,"41.853, 12.44776",3/15/2024
184150,39428521.0,22,12/22/2015,Host,91,I Centro Storico,4,3,Entire home,7,295.0,90,4.73,4.76,4.76,4.83,4.86,4.94,4.72,1.77,Roma,Early Spring,2,private,"41.8993, 12.47127",3/15/2024
131336,40285105.0,43,11/21/2019,Host,1,San Lorenzo,3,2,Entire home,5,30.0,194,4.61,4.64,4.65,4.69,4.84,4.38,4.68,3.72,Napoli,Early Spring,1,private,"40.85696, 14.26446",3/15/2024
6582,51952205.0,8,9/21/2016,Host,704,Rifredi,2,1,Entire home,4,72.0,18,4.06,4.22,3.89,4.44,4.17,4.39,4.06,0.65,Firenze,Early Winter,1,private,"43.787304, 11.238288",12/15/2024
91120,8.65e+17,4,5/9/2014,Superhost,5,GHISOLFA,1,1,Entire home,3,189.0,18,4.94,5.0,4.94,4.94,4.94,5.0,4.94,1.26,Milano,Early Summer,1,private,"45.48780642957916, 9.163202954814858",6/15/2024
42265,4610794.0,4,4/23/2014,Host,2,BICOCCA,1,1,Private room,2,65.0,78,4.79,4.9,4.96,4.88,4.85,4.68,4.82,0.71,Milano,Early Winter,2,private,"45.51664, 9.20952",12/15/2024
107149,7.15e+17,12,4/27/2017,Host,1,SARPI,1,1,Entire home,2,90.0,21,5.0,5.0,4.9,5.0,5.0,4.95,4.86,0.87,Milano,Early Autumn,1,private,"45.48454, 9.18116",9/15/2024
68813,4641977.0,43,11/22/2014,Superhost,1,TICINESE,1,0,Entire home,2,110.0,402,4.76,4.82,4.75,4.91,4.87,4.87,4.74,3.59,Milano,Early Spring,1,private,"45.45731735229492, 9.180787086486816",3/15/2024
